Date,CHG_PCT_1D,PX_LAST
2026-02-27,0.81,16217
2026-02-13,0.53,16086
2026-02-06,0.58,16001
2026-01-30,1.16,15908
2026-01-23,1.2,15726
2026-01-16,1,15540
2026-01-09,2.2,15386
2026-01-02,1.18,15055
2025-12-26,2.26,14880
2025-12-19,1.19,14551
2025-12-12,0.98,14380
2025-12-05,2.42,14240
2025-11-28,-0.42,13904
2025-11-21,0.03,13962
2025-11-14,0.82,13958
2025-11-07,2.06,13844
2025-10-31,1.53,13565
2025-10-24,0.15,13360
2025-10-17,0.57,13340
2025-10-10,-0.08,13265
2025-10-03,0.23,13275
2025-09-26,0.29,13245
2025-09-19,-0.42,13207
2025-09-12,0.84,13263
2025-09-05,0.91,13152
2025-08-29,-0.59,13033
2025-08-22,0.04,13110
2025-08-15,0.73,13105
2025-08-08,-0.15,13010
2025-08-01,-0.57,13030
2025-07-25,0.11,13105
2025-07-18,-0.76,13090
2025-07-11,-1.12,13190
2025-07-04,-0.15,13340
2025-06-27,-0.74,13360
2025-06-20,0.9,13460
2025-06-13,1.06,13340
2025-06-06,-0.75,13200
2025-05-30,-1.04,13300
2025-05-23,-1.9,13440
2025-05-16,0.26,13700
2025-05-09,-0.11,13665
2025-05-02,2.24,13680
2025-04-25,-0.59,13380
2025-04-18,-2.39,13460
2025-04-11,-0.72,13790
2025-04-04,0.94,13890
2025-03-28,-0.65,13760
2025-03-21,-0.07,13850
2025-03-14,-1.91,13860
2025-03-07,-2.48,14130
2025-02-28,-0.62,14490
2025-02-21,-1.15,14580
2025-02-14,0.14,14750
2025-02-07,1.13,14730
2025-01-24,-0.17,14565
2025-01-17,-0.48,14590
2025-01-10,1.38,14660
2025-01-03,-1.53,14460
2024-12-27,-0.64,14685
2024-12-20,-0.24,14780
2024-12-13,1.4,14815
2024-12-06,-1.62,14610
2024-11-29,-1.46,14850
2024-11-22,1.62,15070
2024-11-15,-1.07,14830
2024-11-08,0.5,14990
2024-11-01,1.02,14915
2024-10-25,0.34,14765
2024-10-18,0.93,14715
2024-10-11,-0.07,14580
2024-09-27,-0.48,14590
2024-09-20,-1.87,14660
2024-09-13,-0.73,14940
2024-09-06,-0.2,15050
2024-08-30,1.07,15080
2024-08-23,-0.27,14920
2024-08-16,-0.53,14960
2024-08-09,-0.86,15040
2024-08-02,-0.07,15170
2024-07-26,1.47,15180
2024-07-19,-0.4,14960
2024-07-12,0.81,15020
2024-07-05,0.68,14900
2024-06-28,0.71,14800
2024-06-21,0.24,14695
2024-06-14,-0.48,14660
2024-06-07,1.24,14730
2024-05-31,0.59,14550
2024-05-24,0.1,14465
2024-05-17,-0.45,14450
2024-05-10,0.03,14515
2024-05-03,0.35,14510
2024-04-26,1.05,14460
2024-04-19,-0.35,14310
2024-04-12,1.16,14360
2024-04-05,-0.11,14195
2024-03-29,1.14,14210
2024-03-22,-0.28,14050
2024-03-15,1.95,14090
2024-03-08,2.45,13820
2024-03-01,1.35,13490
2024-02-23,5.43,13310
2024-02-09,1.32,12625
2024-02-02,0.48,12460
2024-01-26,1.47,12400
2024-01-19,1.58,12220
2024-01-12,3.71,12030
2024-01-05,1.31,11600
2023-12-29,0.75,11450
2023-12-22,0.04,11365
2023-12-15,0.26,11360
2023-12-08,2.35,11330
2023-12-01,2.03,11070
2023-11-24,0.84,10850
2023-11-17,-1.1,10760
2023-11-10,1.68,10880
2023-11-03,2,10700
2023-10-27,-0.24,10490
2023-10-20,-0.05,10515
2023-10-13,-3.04,10520
2023-09-29,-1.94,10850
2023-09-22,-2.6,11065
2023-09-15,-1.98,11360
2023-09-08,-2.44,11590
2023-09-01,0.17,11880
2023-08-25,1.45,11860
2023-08-18,0.34,11690
2023-08-11,-3.32,11650
2023-08-04,-1.07,12050
2023-07-28,-0.81,12180
2023-07-21,-0.41,12280
2023-07-14,-1.52,12330
2023-07-07,-0.4,12520
2023-06-30,-0.51,12570
2023-06-23,0.52,12635
2023-06-16,-0.4,12570
2023-06-09,-0.43,12620
2023-06-02,-0.12,12675
2023-05-26,-0.04,12690
2023-05-19,-1.05,12695
2023-05-12,-0.7,12830
2023-05-05,-0.46,12920
2023-04-28,-1.44,12980
2023-04-21,-1.2,13170
2023-04-14,-0.89,13330
2023-04-07,-1.75,13450
2023-03-31,-0.07,13690
2023-03-24,-0.44,13700
2023-03-17,-0.72,13760
2023-03-10,-1.98,13860
2023-03-03,-0.84,14140
